batch_size,seq_len,max_new_tokens,tokens_per_seq,throughput_tps,latency_ms_per_tok,decode_ms_per_tok,ttft_ms,wall_time_std_s,peak_vram_gb,n_runs,error,status,quantization,model,timestamp,hw_gpu_name,hw_gpu_count,hw_cuda_version,hw_torch_version,hw_transformers,hw_bitsandbytes,hw_python
1,64,50,50,7.94,125.927,125.137,164.65,0.045,3.146,10,,ok,int8,microsoft/phi-2,2026-04-21T08:42:41.351011,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
1,128,50,50,7.93,126.1,125.437,158.57,0.0616,3.195,10,,ok,int8,microsoft/phi-2,2026-04-21T08:43:58.862490,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
1,256,50,50,7.95,125.821,124.311,199.81,0.0469,3.318,10,,ok,int8,microsoft/phi-2,2026-04-21T08:45:16.544600,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
1,512,50,50,7.79,128.323,125.911,246.54,0.0391,3.528,10,,ok,int8,microsoft/phi-2,2026-04-21T08:46:35.959176,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
4,64,50,50,27.95,143.126,142.042,196.26,0.0462,3.377,10,,ok,int8,microsoft/phi-2,2026-04-21T08:48:03.869684,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
4,128,50,50,28.49,140.422,138.327,243.07,0.1113,3.58,10,,ok,int8,microsoft/phi-2,2026-04-21T08:49:30.553274,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
4,256,50,50,27.62,144.839,140.512,356.87,0.1196,4.016,10,,ok,int8,microsoft/phi-2,2026-04-21T08:51:00.959289,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
4,512,50,50,25.45,157.142,146.934,657.31,0.0722,4.891,10,,ok,int8,microsoft/phi-2,2026-04-21T08:52:42.130167,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
8,64,50,50,54.59,146.552,144.57,243.69,0.0791,3.681,10,,ok,int8,microsoft/phi-2,2026-04-21T08:54:12.608404,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
8,128,50,50,52.8,151.522,147.343,356.31,0.0729,4.081,10,,ok,int8,microsoft/phi-2,2026-04-21T08:55:47.260391,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
8,256,50,50,49.42,161.87,151.575,666.31,0.0674,4.951,10,,ok,int8,microsoft/phi-2,2026-04-21T08:57:30.991671,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
8,512,50,50,43.6,183.491,159.833,1342.76,0.0653,6.703,10,,ok,int8,microsoft/phi-2,2026-04-21T08:59:34.459231,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
16,64,50,50,98.67,162.159,158.149,358.63,0.0965,4.282,10,,ok,int8,microsoft/phi-2,2026-04-21T09:01:15.622065,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
16,128,50,50,90.2,177.38,167.439,664.48,0.0743,5.087,10,,ok,int8,microsoft/phi-2,2026-04-21T09:03:08.694238,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
16,256,50,50,81.55,196.199,173.279,1319.28,0.0586,6.83,10,,ok,int8,microsoft/phi-2,2026-04-21T09:05:19.546745,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
16,512,50,50,65.93,242.675,192.037,2723.91,0.1078,10.335,10,,ok,int8,microsoft/phi-2,2026-04-21T09:08:12.622157,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
